209,65,33,51,57,98,261,358,1
183,84,32,49,42,68,260,300,1
164,80,34,53,70,91,286,296,1
177,82,34,54,98,105,304,341,1
153,86,34,51,98,106,304,301,1
130,82,35,55,102,106,315,304,1
131,62,33,55,107,109,292,304,1
136,64,34,52,96,100,263,303,1
111,61,33,46,69,110,213,223,1
102,59,33,49,77,109,193,269,1
111,58,31,41,73,115,174,260,1
112,62,32,31,65,114,183,244,1
130,58,34,31,59,109,176,268,1
144,59,34,38,86,105,179,287,1
146,55,34,35,78,103,151,245,1
143,58,36,35,80,98,145,226,1
133,58,37,41,85,97,181,236,1
114,60,31,45,109,99,206,204,1
103,59,33,42,90,72,220,177,1
108,59,33,45,93,69,241,165,1
111,56,35,43,98,94,270,216,1
174,52,34,42,94,100,247,267,1
181,50,35,36,64,96,220,288,1
183,48,32,34,61,98,207,309,1
184,48,33,38,119,113,180,320,1
185,60,30,39,115,116,184,294,1
133,59,158,35,116,111,179,244,1
122,153,698,450,116,109,181,215,1
154,502,926,873,131,176,237,244,1
206,753,949,1118,88,234,320,380,1
231,788,953,1238,89,295,348,435,1
247,815,1055,1273,86,326,411,520,1
311,835,834,1209,103,337,426,535,1
299,691,573,957,93,309,399,510,1
263,409,604,658,83,262,338,411,1
261,339,686,388,81,176,343,432,1
277,270,498,254,92,116,286,346,1
214,148,455,154,163,264,274,376,1
255,116,454,102,177,272,279,402,1
267,95,360,76,182,280,276,405,1
263,77,125,70,186,290,193,326,1
239,75,101,67,183,289,165,298,1
240,61,77,52,111,143,144,240,1
228,66,57,52,98,131,150,239,1
217,66,44,46,93,110,149,239,1
219,64,37,38,87,79,147,225,1
220,51,34,39,84,71,134,225,1
206,52,35,39,102,90,140,209,1
177,49,32,36,112,113,198,213,1
178,51,28,36,112,118,206,202,1
154,48,27,35,110,122,209,201,1
136,51,28,30,109,122,215,195,1
141,52,27,31,91,103,229,236,1
138,56,29,30,48,65,156,190,1
146,58,31,32,43,55,148,207,1
148,65,31,32,37,41,139,214,1
152,69,31,37,45,42,133,237,1
164,69,30,40,68,49,142,257,1
177,64,33,42,73,51,186,255,1
176,61,39,46,76,58,216,266,1
169,56,55,49,76,59,234,281,1
164,54,67,46,71,57,228,258,1
158,57,90,44,56,49,205,205,1
135,56,101,43,57,100,175,221,1
120,58,104,41,54,102,130,193,1
147,59,98,38,57,104,98,157,1
159,51,91,40,70,106,100,177,1
150,50,71,40,66,106,89,161,1
141,55,54,39,63,104,84,125,1
158,61,43,48,83,119,92,141,1
151,56,38,48,84,136,90,149,1
172,63,40,54,90,149,107,148,1
189,67,43,59,121,162,122,168,1
208,67,41,66,159,214,125,206,1
204,59,41,62,156,214,123,205,1
194,71,41,62,161,211,125,215,1
183,75,41,60,156,202,104,235,1
183,72,35,54,135,214,94,244,1
217,81,34,57,154,161,83,234,1
